Country,ISO3,Indicator,Technology,Energy_Type,Unit,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
Austria,AUT,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),5247.0,5407.0,5257.0,4922.0,5138.0,4431.04,4176.416,3711.793,4645.634,4563.928,4494.656,5257.36,5705.059,5874.35,5750.338,5525.501,5173.152,4615.845,4556.064,4420.482,4479.871,4650.469,4071.153
Austria,AUT,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),41835.651,40455.481,40227.002,33214.992,36762.283,37095.138,35656.085,37054.453,38329.491,40896.304,38363.418,34237.171,43847.698,42016.72,41007.237,37156.866,39971.337,38293.75,37637.911,40825.97,41998.03,38751.331,34705.356
Austria,AUT,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),11613.0,11640.0,11504.0,11545.0,11578.0,11799.042,11825.096,11988.189,12440.95,12630.43,12894.848,13177.39,13308.889,13383.396,13532.252,13649.655,14116.314,14149.948,14516.246,14597.108,14634.505,14747.928,14923.126
Austria,AUT,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),3.229,5.336,9.029,14.692,18.428,21.018,22.387,24.238,30.12,48.915,88.813,174.07,337.483,625.974,785.246,937.098,1096.016,1268.971,1455.132,1702.093,2042.934,2782.602,3791.704
Austria,AUT,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),5.0,7.0,9.0,23.0,27.0,21.018,22.387,24.238,30.12,48.915,88.813,174.07,337.483,625.974,785.246,937.098,1096.016,1268.971,1455.132,1702.093,2042.934,2782.602,3791.704
Austria,AUT,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),66.754,104.647,139.818,372.279,933.628,1331.277,1752.793,2037.185,2011.257,1954.04,2063.914,1936.196,2462.864,3152.433,3845.675,4840.321,5234.838,6571.511,6030.429,7450.076,6791.53,6740.042,7245.134
Austria,AUT,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),50.0,67.0,109.0,322.0,581.0,825.219,968.269,991.159,991.974,1000.985,1015.828,1105.966,1337.15,1674.538,2110.275,2488.726,2729.996,2886.698,3132.713,3224.117,3225.979,3407.811,3579.236
"Azerbaijan, Rep. of",AZE,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,,,,,134.1,173.5,181.8,174.5,170.3,162.201,195.9,200.6,193.2,205.3
"Azerbaijan, Rep. of",AZE,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),,,,,,,,,,,,,,37.0,37.0,38.05,38.05,43.05,45.05,45.05,45.05,44.7,44.7
"Azerbaijan, Rep. of",AZE,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),17165.0,17669.0,16681.0,18817.0,18989.0,19863.0,22025.0,19483.0,19411.0,16558.0,15262.7,17618.0,21167.1,21729.6,23249.3,22859.9,22761.1,22344.9,23177.0,24162.6,24425.9,26270.7,27094.601
